Addressing Mode,Assembly Syntax,Encoding
R,"ADC Rd, Rs",10110101_Rsss_Rddd
R,"ADCB Rbd, Rbs",10110100_Rbss_Rbdd
R,"ADD Rd, Rs",10000001_Rsss_Rddd
R,"ADDB Rbd, Rbs",10000000_Rbss_Rbdd
R,"ADDL RRd, RRs",10010110_RRss_RRdd
IM,"ADD Rd, #data",00000001_0000_Rddd + #data
IM,"ADDB Rbd, #data",00000000_0000_Rbdd + #data | #data
IM,"ADDL RRd, #data",00010110_0000_RRdd + #data (high) + #data (low)
IR,"ADD Rd, @Rs",00000001_Rsnz_Rddd
IR,"ADDB Rbd, @Rs",00000000_Rsnz_Rbdd
IR,"ADDL RRd, @Rs",00010110_Rsnz_RRdd
DA,"ADD Rd, address",01000001_0000_Rddd + address
DA,"ADDB Rbd, address",01000000_0000_Rbdd + address
DA,"ADDL RRd, address",01010110_0000_RRdd + address
X,"ADD Rd, addr(Rs)",01000001_Rsnz_Rddd + address
X,"ADDB Rbd, addr(Rs)",01000000_Rsnz_Rbdd + address
X,"ADDL RRd, addr(Rs)",01010110_Rsnz_RRdd + address
R,"AND Rd, Rs",10000111_Rsss_Rddd
R,"ANDB Rbd, Rbs",10000110_Rbss_Rbdd
IM,"AND Rd, #data",00000111_0000_Rddd + #data
IM,"ANDB Rbd, #data",00000110_0000_Rbdd + #data | #data
IR,"AND Rd, @Rs",00000111_Rsnz_Rddd
IR,"ANDB Rbd, @Rs",00000110_Rsnz_Rbdd
DA,"AND Rd, address",01000111_0000_Rddd + address
DA,"ANDB Rbd, address",01000110_0000_Rbdd + address
X,"AND Rd, addr(Rs)",01000111_Rsnz_Rddd + address
X,"ANDB Rbd, addr(Rs)",01000110_Rsnz_Rbdd + address
R,"BIT Rd, #b",10100111_Rddd_bbbb
R,"BITB Rbd, #b",10100110_Rbdd_0bbb
IR,"BIT @Rd, #b",00100111_Rdnz_bbbb
IR,"BITB @Rd, #b",00100110_Rdnz_0bbb
DA,"BIT address, #b",01100111_0000_bbbb + address
DA,"BITB address, #b",01100110_0000_0bbb + address
X,"BIT addr(Rd), #b",01100111_Rdnz_bbbb + address
X,"BITB addr(Rd), #b",01100110_Rdnz_0bbb + address
R,"BIT Rd, Rs",00100111_0000_Rsss + 0000_Rddd_0000_0000
R,"BITB Rbd, Rs",00100110_0000_Rsss + 0000_Rbdd_0000_0000
IR,CALL @Rd,00011111_Rdnz_0000
DA,CALL address,01011111_0000_0000 + address
X,CALL address(Rd),01011111_Rdnz_0000 + address
RA,CALR address,1101dddd_dddd_dddd
R,CLR Rd,10001101_Rddd_1000
R,CLRB Rbd,10001100_Rbdd_1000
IR,CLR @Rd,00001101_Rdnz_1000
IR,CLRB @Rd,00001100_Rdnz_1000
DA,CLR address,01001101_0000_1000 + address
DA,CLRB address,01001100_0000_1000 + address
X,CLR addr(Rd),01001101_Rdnz_1000 + address
X,CLRB addr(Rd),01001100_Rdnz_1000 + address
R,COM Rd,10001101_Rddd_0000
R,COMB Rbd,10001100_Rbdd_0000
IR,COM @Rd,00001101_Rdnz_0000
IR,COMB @Rd,00001100_Rdnz_0000
DA,COM address,01001101_0000_0000 + address
DA,COMB address,01001100_0000_0000 + address
X,COM addr(Rd),01001101_Rdnz_0000 + address
X,COMB addr(Rd),01001100_Rdnz_0000 + address
-,COMFLG flags,10001101_CZSV_0101
R,"CP Rd, Rs",10001011_Rsss_Rddd
R,"CPB Rbd, Rbs",10001010_Rbss_Rbdd
R,"CPL RRd, RRs",10010000_RRss_RRdd
IM,"CP Rd, #data",00001011_0000_Rddd + #data
IM,"CPB Rbd, #data",00001010_0000_Rbdd + #data | #data
IM,"CPL RRd, #data",00010000_0000_RRdd + #data (high) + #data (low)
IR,"CP Rd, @Rs",00001011_Rsnz_Rddd
IR,"CPB Rbd, @Rs",00001010_Rsnz_Rbdd
IR,"CPL RRd, @Rs",00010000_Rsnz_RRdd
DA,"CP Rd, address",01001011_0000_Rddd + address
DA,"CPB Rbd, address",01001010_0000_Rbdd + address
DA,"CPL RRd, address",01010000_0000_RRdd + address
X,"CP Rd, addr(Rs)",01001011_Rsnz_Rddd + address
X,"CPB Rbd, addr(Rs)",01001010_Rsnz_Rbdd + address
X,"CPL RRd, addr(Rs)",01010000_Rsnz_RRdd + address
IR,"CP @Rd, #data",00001101_Rdnz_0001 + #data
IR,"CPB @Rd, #data",00001100_Rdnz_0001 + #data | #data
DA,"CP address, #data",01001101_0000_0001 + address + #data
DA,"CPB address, #data",01001100_0000_0001 + address + #data | #data
X,"CP (addr)Rd, #data",01001101_Rdnz_0001 + address + #data
X,"CPB (addr)Rd, #data",01001100_Rdnz_0001 + address + #data | #data
IR,"CPD Rd, @Rs, r, cc",10111011_Rsnz_1000 + 0000_Rrrr_Rddd_cccc
IR,"CPDB Rd, @Rs, r, cc",10111010_Rsnz_1000 + 0000_Rrrr_Rddd_cccc
IR,"CPDR Rd, @Rs, r, cc",10111011_Rsnz_1100 + 0000_Rrrr_Rddd_cccc
IR,"CPDRB Rd, @Rs, r, cc",10111010_Rsnz_1100 + 0000_Rrrr_Rddd_cccc
IR,"CPI Rd, @Rs, r, cc",10111011_Rsnz_0000 + 0000_Rrrr_Rddd_cccc
IR,"CPIB Rd, @Rs, r, cc",10111010_Rsnz_0000 + 0000_Rrrr_Rddd_cccc
IR,"CPIR Rd, @Rs, r, cc",10111011_Rsnz_0100 + 0000_Rrrr_Rddd_cccc
IR,"CPIRB Rd, @Rs, r, cc",10111010_Rsnz_0100 + 0000_Rrrr_Rddd_cccc
IR,"CPSD @Rd, @Rs, r, cc",10111011_Rsnz_1010 + 0000_Rrrr_Rdnz_cccc
IR,"CPSDB @Rd, @Rs, r, cc",10111010_Rsnz_1010 + 0000_Rrrr_Rdnz_cccc
IR,"CPSDR @Rd, @Rs, r, cc",10111011_Rsnz_1110 + 0000_Rrrr_Rdnz_cccc
IR,"CPSDRB @Rd, @Rs, r, cc",10111010_Rsnz_1110 + 0000_Rrrr_Rdnz_cccc
IR,"CPSI @Rd, @Rs, r, cc",10111011_Rsnz_0010 + 0000_Rrrr_Rdnz_cccc
IR,"CPSIB @Rd, @Rs, r, cc",10111010_Rsnz_0010 + 0000_Rrrr_Rdnz_cccc
IR,"CPSIR @Rd, @Rs, r, cc",10111011_Rsnz_0110 + 0000_Rrrr_Rdnz_cccc
IR,"CPSIRB @Rd, @Rs, r, cc",10111010_Rsnz_0110 + 0000_Rrrr_Rdnz_cccc
R,DAB Rbd,10110000_Rbdd_0000
R,"DEC Rd, #n",10101011_Rddd_nnnn
R,"DECB Rbd, #n",10101010_Rbdd_nnnn
IR,"DEC @Rd, #n",00101011_Rdnz_nnnn
IR,"DECB @Rd, #n",00101010_Rdnz_nnnn
DA,"DEC address, #n",01101011_0000_nnnn + address
DA,"DECB address, #n",01101010_0000_nnnn + address
X,"DEC addr(Rd), #n",01101011_Rdnz_nnnn + address
X,"DECB addr(Rd), #n",01101010_Rdnz_nnnn + address
-,DI int,01111100_0000_00VN
RA,"DJNZ R, address",1111Rrrr_1ddd_dddd
RA,"DBJNZ Rb, address",1111Rrrr_0ddd_dddd
-,EI int,01111100_0000_01VN
R,"EX Rd, Rs",10101101_Rsss_Rddd
R,"EXB Rbd, Rbs",10101100_Rbss_Rbdd
IR,"EX Rd, @Rs",00101101_Rsnz_Rddd
IR,"EXB Rbd, @Rs",00101100_Rsnz_Rbdd
DA,"EX Rd, address",01101101_0000_Rddd + address
DA,"EXB Rbd, address",01101100_0000_Rbdd + address
X,"Ex, Rd, addr(Rs)",01101101_Rsnz_Rddd + address
X,"EXB Rbd, addr(Rs)",01101100_Rsnz_Rbdd + address
